,store,sido,gugun,address
451,국악고점,서울,강남구,서울시 강남구 개포동 1197-2
452,강남구청역점,서울,강남구,서울특별시 강남구 선릉로 131길 12(1층)
453,인천 길병원점,인천,남동구,인천광역시 남동구 인주대로 653번길 56 (장례식장 1층)
454,금정역점,경기도,군포시,경기도 군포시 산본동 266-5
455,메세나폴리스점,서울,마포구,서울시 마포구 합정동 418-1
456,광천터미널점,광주,서구,광주광역시 서구 농성공 460-24
457,울산달동점,울산,남구,울산광역시 남구 달동 1394-14
458,청주금천점,충청북도,청주시,충청북도 청주시 상당구 금천동 301번지
459,오산대점,경기도,오산시,경기도 오산시 궐동 93-2 모터프라자1층
460,진해점,경상남도,창원시,경남 창원시 진해구 여좌동 760-286번지
461,천안역점,충청남도,천안시,충청남도 천안시 동남구 대흥동 124-2 1~2
462,충북대 중문점,충청북도,청주시,충청북도 청주시 흥덕구 사창동 156-5
463,인천 엠파크점,인천,서구,인천광역시 서구 봉수대로 158
464,구미시청점,경상북도,구미시,경상북도 구미시 송정동 459번지
465,청주하복대점,충청북도,청주시,충북 청주시 흥덕구 북대동 2646 1층
466,동촌유원지점,대구,동구,대구광역시 동구 효목동 1087-6
467,서울시청점,서울,중구,서울 중구 태평로 1가 29-2
468,스마트시티점,대전,유성구,대전시 유성구 도룡동 4-7번지 스마트504동
469,서여의도점,서울,영등포구,"서울 영등포구 여의도동 13 진미파라곤 1F 111호, 112호"
470,청주 개신점,충청북도,청주시,충청북도 청주시 흥덕구 개신동 52-4
471,전주서신점,전라북도,전주시,전라북도 전주시 완산구 서신동 889-7
472,신분당강남역점,서울,강남구,서울시 강남구 역삼동 825번지 신분당선강남역 지하1층 5호
473,신분당양재역점,서울,서초구,서울시 서초구 양재동 12-1번지 신분당선양재역 지하1층 28호 29호
474,대전가오점,대전,동구,대전시 동구 가오동 606 글로리타워 1층
475,청주 용암점,충청북도,청주시,충청북도 청주시 상당구 용암동 1635
476,충북 오창점,충청북도,청주시,충청북도 청주시 청원구 오창읍 과학산업2로 375 1층/2층
477,김해 삼계,경상남도,김해시,경남 김해시 삼계동 1453-6
478,수지 성복점,경기도,용인시,경기도 용인시 수지구 성복동 401
479,대전목원대점,대전,서구,대전시 서구 도안북로 93번길 25
480,대구 수목원점,대구,달서구,대구광역시 달서구 대곡동 1018-2
481,여수 소호점,전라남도,여수시,전라남도 여수시 소호동 443-2 1층 카페 파스쿠찌
482,구월점,인천,남동구,"인천광역시 남동구 구월동 1463 효명프라자 103호, 301호"
483,한국선원센터,부산,중구,부산 중구 중앙동4가 74-7 1F
484,울산세이브존,울산,남구,울산광역시 남구 삼산동 1377-9
485,주안역점,인천,남구,인천광역시 남구 주안로 116 (리가스퀘어 1층)
486,연신내점,서울,은평구,서울시 은평구 갈현동 456-6
487,경북하양점,경상북도,경산시,경상북동 경산시 하양읍 금락리 116-358
488,전남도청점,전라남도,무안군,전라남도 무안군 삼향면 남악리 2179
489,군산수송점,전라북도,군산시,전라북도 군산시 수송동 804-7
490,디큐브아트센터점,서울,구로구,서울 구로구 신도림동 360-51 디큐브아트센터 7층
491,인천연수역점,인천,연수구,"인천광역시 연수구 먼우금로 217 (연수푸르지오 4단지 112호, 205호)"
492,잠실역점,서울,송파구,서울 송파구 신천동 7-25 월드타워 1F
493,조치원역점,세종시특별자치시,조치원읍,"세종특별자치시 조치원읍 원리 141-2,3"
494,서울대점,서울,관악구,서울특별시 관악구 관악로 1
495,신포로데오점,인천,중구,인천광역시 중구 개항로 29-1
496,목포 한국병원점,전라남도,목포시,전라남도 목포시 상동 148-1 목포한국병원내
497,광주 풍암점,광주,서구,"광주광역시 서구 풍암동 1116 현인빌딩 103호 일부,201호,202호"
498,울산 일산테라스파크점,울산,동구,"울산시 동구 일산동 945번지 테라스파크 A동 109,112,113호"
499,판교도서관점,경기도,성남시,경기도 성남시 분당구 판교동 605-7
500,울산삼산점,울산,남구,울산광역시 남구 삼산동 1571-10번지
