,store,sido,gugun,address
1570,현대충청  ,충청북도,청주시,충청북도 청주시 흥덕구 직지대로 308 (복대동)1522-3232
1571,청주터미널  ,충청북도,청주시,충청북도 청주시 흥덕구 풍산로 15 (가경동)1522-3232
1572,청주복대지웰  ,충청북도,청주시,충청북도 청주시 흥덕구 대농로 52 (복대동)1522-3232
1573,청주이마트  ,충청북도,청주시,충청북도 청주시 서원구 청남로 1853 (미평동)1522-3232
1574,청주사직DT  ,충청북도,청주시,충청북도 청주시 서원구 사직대로 302 (사직동)1522-3232
1575,청주성화  ,충청북도,청주시,충청북도 청주시 서원구 복대로 5 (개신동)1522-3232
1576,충북대  ,충청북도,청주시,충청북도 청주시 서원구 내수동로 113 (사창동)1522-3232
1577,오창호수공원  ,충청북도,청주시,"충청북도 청주시 청원구 오창읍 중심상업1로 20 101,102,103,104호1522-3232"
1578,청주율량DT  ,충청북도,청주시,충청북도 청주시 청원구 충청대로107번길 8 (율량동)1522-3232
1579,오창과학단지  ,충청북도,청주시,충청북도 청주시 청원구 오창읍 과학산업2로 385 1522-3232
1580,제주신화월드R  ,제주특별자치도,서귀포시,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 B1-291522-3232
1581,제주에듀시티  ,제주특별자치도,서귀포시,제주특별자치도 서귀포시 대정읍 에듀시티로 36 1522-3232
1582,제주성산DT  ,제주특별자치도,서귀포시,제주특별자치도 서귀포시 성산읍 일출로 80 1522-3232
1583,제주중문DT  ,제주특별자치도,서귀포시,제주특별자치도 서귀포시 천제연로 95(색달동)1522-3232
1584,제주서귀포  ,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중정로 53 (서귀동)1522-3232
1585,제주송악산  ,제주특별자치도,서귀포시,제주특별자치도 서귀포시 대정읍 형제해안로 322 1522-3232
1586,서귀포DT  ,제주특별자치도,서귀포시,제주특별자치도 서귀포시 일주서로 11 (강정동)1522-3232
1587,성산일출봉  ,제주특별자치도,서귀포시,"제주특별자치도 서귀포시 성산읍 일출로 284-5 1,2층1522-3232"
1588,제주중문  ,제주특별자치도,서귀포시,제주특별자치도 서귀포시 중문관광로110번길 32 (색달동)1522-3232
1589,제주도남DT  ,제주특별자치도,제주시,제주특별자치도 제주시 연북로 394 (도남동)1522-3232
1590,제주협재  ,제주특별자치도,제주시,제주특별자치도 제주시 한림읍 한림로 337 1522-3232
1591,제주외도DT  ,제주특별자치도,제주시,제주특별자치도 제주시 일주서로 7300 (외도일동)1522-3232
1592,제주삼화DT  ,제주특별자치도,제주시,제주특별자치도 제주시 연삼로 884 (도련일동)1522-3232
1593,제주시청  ,제주특별자치도,제주시,제주특별자치도 제주시 중앙로 215 (이도이동)1522-3232
1594,제주함덕  ,제주특별자치도,제주시,제주특별자치도 제주시 조천읍 조함해안로 522 1522-3232
1595,제주노형공원  ,제주특별자치도,제주시,제주특별자치도 제주시 연북로 12 (노형동)1522-3232
1596,제주애월DT  ,제주특별자치도,제주시,제주특별자치도 제주시 애월읍 애월해안로 376 1522-3232
1597,제주칠성  ,제주특별자치도,제주시,제주특별자치도 제주시 관덕로 55 (일도일동)1522-3232
1598,제주노형  ,제주특별자치도,제주시,제주특별자치도 제주시 도령로 27 (노형동)1522-3232
1599,제주용담DT  ,제주특별자치도,제주시,제주특별자치도 제주시 서해안로 380 (용담삼동) 화이트하우스1522-3232
1600,신제주이마트  ,제주특별자치도,제주시,"제주특별자치도 제주시 1100로 3348, 신제주이마트 1층 (노형동)1522-3232"
1601,제주서해안로DT  ,제주특별자치도,제주시,제주특별자치도 제주시 서해안로 624 (용담삼동)1522-3232
1602,제주일도DT  ,제주특별자치도,제주시,제주특별자치도 제주시 동광로 130 (일도이동)1522-3232
1603,세종다정DT  ,세종특별자치시,다정북로,세종특별자치시 다정북로 219 (다정동)1522-3232
1604,세종보람  ,세종특별자치시,한누리대로,"세종특별자치시 한누리대로 2165 (보람동) A118,119,120,121,128,129,130,1311522-3232"
1605,세종새롬  ,세종특별자치시,새롬중앙로,세종특별자치시  새롬중앙로 64 (새롬동)1522-3232
1606,세종어진R  ,세종특별자치시,한누리대로,세종특별자치시  한누리대로 499 (어진동)1522-3232
1607,세종종촌  ,세종특별자치시,도움3로,세종특별자치시  도움3로 105-10 (종촌동) 성운프라자1522-3232
1608,세종첫마을  ,세종특별자치시,한누리대로,세종특별자치시  한누리대로 169 행복타워 1층1522-3232
1609,세종이마트  ,세종특별자치시,금송로,세종특별자치시 금송로 687(가람동 406) 이마트 세종점1522-3232
1610,세종청사  ,세종특별자치시,도움8로,세종특별자치시  도움8로 81 (어진동)1522-3232
1611,세종아름  ,세종특별자치시,아름서1길,"세종특별자치시 아름서1길 13-9 (아름동) 103,104,105,202,203호1522-3232"
1612,세종소담  ,세종특별자치시,소담3로,"세종특별자치시 소담3로 8 (소담동) 1동  12호,13호,14호,15호,15a호,16호1522-3232"
